Rank,Company,Revenue
1,Amazon,554.02 B
2,Jingdong Mall,152.48 B
3,Alibaba,129.89 B
4,Meituan,32.79 B
5,Pinduoduo,23.44 B
6,Coupang,23.14 B
7,Vipshop,15.63 B
8,Rakuten,14.77 B
9,MercadoLibre,13.21 B
10,Sea (Garena),12.89 B
11,Wayfair,11.99 B
12,Carvana,11.18 B
13,Zalando,11.03 B
14,Chewy,10.80 B
15,eBay,10.06 B
16,JD Health,6.77 B
17,Shopify,6.65 B
18,Americanas,5.35 B
19,Ozon,4.63 B
20,ASOS,4.51 B
21,Copart,3.99 B
22,Alibaba Health Information Technology,3.89 B
23,momo.com Inc.,3.48 B
24,Cimpress,3.13 B
25,Dingdong Maicai,3.12 B
26,Ocado,3.00 B
27,THG (The Hut Group),2.71 B
28,Etsy,2.71 B
29,Instacart (Maplebear Inc.),2.55 B
30,Adevinta,2.34 B
31,Allegro.eu,2.16 B
32,Boohoo Group,2.13 B
33,About You,2.03 B
34,Newegg,1.99 B
35,Monotaro,1.77 B
36,Zur Rose Group,1.74 B
37,Overstock.com,1.58 B
38,Global Fashion Group,1.50 B
39,Schibsted,1.49 B
40,Redcare Pharmacy,1.49 B
41,Dada Nexus,1.48 B
42,ZOZO,1.36 B
43,Mercari,1.26 B
44,Baozun,1.20 B
45,SIGNA Sports United,1.13 B
46,Missfresh,1.07 B
47,Revolve,1.07 B
48,Allied Tecnologia,1.05 B
49,GoTo,0.91 B
50,MYT Netherlands Parent (Mytheresa),0.81 B
51,CEWE,0.81 B
52,Lightspeed POS,0.81 B
53,CarParts.com,0.67 B
54,Nykaa,0.65 B
55,Vivid Seats,0.64 B
56,LightInTheBox Holding,0.61 B
57,The RealReal,0.57 B
58,a.k.a. Brands,0.56 B
59,Groupon,0.54 B
60,The Original BARK Company,0.52 B
61,Global-e,0.52 B
62,Polished.com,0.52 B
63,ContextLogic (wish.com),0.42 B
64,Onion Global,0.39 B
65,Lulu's Fashion Lounge,0.39 B
66,Shift Technologies,0.33 B
67,Infibeam Avenues,0.31 B
68,Liquidity Services,0.30 B
69,Rent the Runway,0.30 B
70,PFSweb,0.30 B
71,Uxin Limited,0.29 B
72,ThredUp,0.29 B
73,BigCommerce,0.29 B
74,Wirtualna Polska (WP Holding),0.29 B
75,Grove Collaborative,0.28 B
76,Bukalapak.com,0.28 B
77,1-800-PetMeds,0.27 B
78,Mister Spex,0.23 B
79,Jumia,0.21 B
80,Katapult Holdings,0.20 B
81,VTEX,0.17 B
82,Hong Kong Technology Venture Company (HKTV),0.16 B
83,IndiaMART,0.13 B
84,Kaspien,0.12 B
85,Yunji,0.12 B
86,Hour Loop,0.11 B
87,1stdibs.Com,91.63 M
88,MSTC Limited,87.62 M
89,Upexi,80.67 M
90,Nogin,78.34 M
91,Treasure Global,69.4 M
92,Natural Health Trends,45.49 M
93,Webuy Global,44.56 M
94,Kidpik,15.85 M
95,Jeffs' Brands,5.85 M
